Date,CPI,TB3MS,M1,M2,AUD_USD,CAD_USD,NZD_USD,ZAR_USD
2004-07-01,189.1,1.33,1340.8,6291.1,0.716147619047619,1.3225047619047618,0.6467238095238096,6.135023809523809
2004-08-01,189.2,1.48,1354.3,6317.8,0.7110590909090909,1.3126772727272729,0.6561136363636364,6.4666772727272726
2004-09-01,189.8,1.65,1362.5,6352.2,0.7028095238095238,1.2880952380952382,0.6594142857142857,6.534933333333333
2004-10-01,190.8,1.76,1362.3,6379.8,0.733725,1.2469350000000001,0.6846,6.38146
2004-11-01,191.7,2.07,1374.2,6406.3,0.77041,1.1967700000000001,0.70091,6.030495
2004-12-01,191.7,2.19,1376.0,6424.5,0.7674826086956522,1.2188826086956523,0.714891304347826,5.723491304347826
2005-01-01,191.6,2.33,1367.1,6430.8,0.766835,1.2248350000000001,0.7064549999999999,5.958665
2005-02-01,192.4,2.54,1371.1,6438.9,0.7812210526315789,1.2400526315789473,0.7155052631578948,6.0001105263157894
2005-03-01,193.1,2.74,1370.9,6448.3,0.7847521739130434,1.2160260869565216,0.729995652173913,6.032834782608695
2005-04-01,193.7,2.78,1358.4,6461.8,0.773842857142857,1.2359,0.7209190476190477,6.146880952380952
2005-05-01,193.6,2.84,1366.0,6479.0,0.7663285714285715,1.2555285714285713,0.719057142857143,6.326714285714285
2005-06-01,193.7,2.97,1380.1,6511.7,0.7666863636363637,1.2401681818181818,0.7083409090909091,6.739586363636364
2005-07-01,194.9,3.22,1369.0,6543.5,0.75241,1.222855,0.67891,6.696575
2005-08-01,196.1,3.44,1377.8,6576.3,0.7614086956521738,1.2042826086956522,0.695608695652174,6.459860869565217
2005-09-01,198.8,3.42,1378.6,6610.1,0.7651238095238094,1.1776809523809524,0.6987333333333334,6.366142857142857
2005-10-01,199.1,3.71,1376.5,6643.9,0.753455,1.177415,0.69832,6.587784999999999
2005-11-01,198.1,3.88,1376.1,6660.7,0.73532,1.181545,0.689675,6.655415
2005-12-01,198.1,3.89,1374.3,6687.8,0.7423142857142857,1.1614809523809524,0.6946761904761904,6.348
2006-01-01,199.3,4.24,1379.5,6730.1,0.750515,1.157165,0.68716,6.076
2006-02-01,199.4,4.43,1378.4,6754.7,0.7417578947368422,1.1488947368421052,0.6735421052631579,6.115321052631579
2006-03-01,199.7,4.51,1383.2,6769.3,0.7265565217391304,1.1573086956521739,0.6342260869565217,6.243586956521739
2006-04-01,200.7,4.6,1381.4,6806.9,0.73686,1.1441050000000001,0.62198,6.0811
2006-05-01,201.3,4.72,1387.2,6813.7,0.7638818181818181,1.109990909090909,0.6310727272727272,6.312795454545454
2006-06-01,201.8,4.79,1375.4,6851.8,0.7398727272727273,1.1137272727272727,0.6189681818181818,6.973804545454545
2006-07-01,202.9,4.95,1372.4,6893.6,0.75278,1.129445,0.6177699999999999,7.068805
2006-08-01,203.8,4.96,1372.4,6925.1,0.7630956521739131,1.118213043478261,0.6348130434782608,6.950295652173913
2006-09-01,202.8,4.81,1364.4,6952.4,0.7548600000000001,1.11612,0.65508,7.4465
2006-10-01,201.9,4.92,1370.3,7001.7,0.7544285714285714,1.1285380952380952,0.6620904761904762,7.629952380952382
2006-11-01,202.0,4.94,1370.8,7037.2,0.7727666666666667,1.1358809523809523,0.6693142857142858,7.24552380952381
2006-12-01,203.1,4.85,1366.6,7080.1,0.785755,1.153235,0.693325,7.0344750000000005
2007-01-01,203.437,4.98,1371.7,7118.3,0.7825809523809524,1.1762619047619047,0.6947142857142857,7.189809523809523
2007-02-01,204.226,5.03,1363.0,7134.3,0.7829684210526316,1.1709894736842106,0.6934052631578947,7.175510526315789
2007-03-01,205.288,4.94,1366.5,7168.2,0.7931681818181818,1.1681590909090909,0.6995,7.352527272727272
2007-04-01,205.904,4.87,1378.0,7240.7,0.8273238095238095,1.1349857142857143,0.7345380952380952,7.102619047619048
2007-05-01,206.755,4.73,1380.9,7254.6,0.8254181818181817,1.0950863636363637,0.7334454545454545,7.014763636363637
